party	answers
Bündnis C	[1, 1, -1, 1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1, -1, 1, 1, 0, 1, -1, 1, 1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, 1, 1, 1, -1, 1]
BÜRGERBEWEGUNG	[0, 0, -1, -1, -1, 1, 1, 1, -1, 1, 0, 1, -1, -1, -1, 1, 1, 0, 1, 0, -1, 0, -1, 1, -1, -1, -1, 1, 1, -1, 1, 0, -1, 1, 1, 1, 1, 1]
III. Weg	[0, 1, -1, 1, 1, -1, -1, 1, 1, 1, 1, 0, 1, -1, -1, 1, 1, -1, 1, 1, -1, 1, -1, -1, 1, -1, 0, 1, -1, -1, 1, -1, -1, 0, 1, 1, -1, 1]
BÜNDNIS21	[-1, -1, -1, 1, -1, -1, -1, 1, -1, 1, -1, 1, -1, -1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, 1, 1, -1, 1]
LIEBE	[1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, -1, 1]
LKR	[-1, 1, -1, 1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, 1]
PdF	[-1, 1, 0, -1, 0, -1, 0, 1, -1, 0, -1, 1, -1, 1, 1, 1, 1, 1, 0, 1, 1, 1, -1, 1, -1, 0, -1, -1, -1, 1, 1, 1, -1, 1, 1, 0, 1, -1]
LfK	[1, -1, 1, 0, 0, -1, 1, 1, -1, 0, -1, -1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, -1, 1, 0, 0, 0, -1, 1, 0, -1]
SSW	[1, 0, 1, -1, 1, 0, 1, 1, -1, 1, -1, 1, 1, 1, 0, -1, 1, 1, -1, -1, 1, 1, 1, 1, -1, -1, -1, 1, -1, -1, 1, 1, -1, 0, -1, 1, 1, 1]
Team Todenhöfer	[-1, -1, 0, -1, -1, -1, -1, 1, -1, 1, -1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, 1, -1, 1, 0, -1, 1, 1]
UNABHÄNGIGE	[-1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, -1, -1, 1, 1, -1, 1, 1, 0, 1, -1, 1, -1, -1, -1, 1, 0, -1, 1, 0, -1, 1, 1, 1, 0, 0]
Volt	[1, -1, 1, -1, 1, -1, 1, 1, -1, 1, -1, 1, 1, 1, 1, -1, 1, 1, -1, 1, 1, -1, -1, 1, -1, 1, -1, -1, -1, -1, 1, 1, 1, -1, -1, 1, 1, 1]
